Brand,Date,Campaign Start Date,Campaign End Date,Publisher,Campaign Name,DCM Campaign ID,Creative Name,Consumer Target (Age),Consumer Target (Gender),Consumer Target (Ethnicity),Placement Name,DCM Placement ID,Placement Type,Unit Size,Planned Impressions, Delivered Impressions,Delivered Unique Impressions,Frequency,Delivered Clicks,CTR,% Viewable Impressions,Click to Play or Autoplay,Video Views - Total,Video Views - First Quartile,Video Views - Mid Quartile,Video Views - Third Quartile,Video Views - Completions,VCR,Cost Method,Placement Rate,Delivered Spend
Smirnoff,10/2/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,36,0.0008,,,,,,,43360,,6.17,,267.53
Smirnoff,10/3/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/32,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,5,0.0006,,,,,,,8870,,6.17,,54.73
Smirnoff,10/4/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,76,0.001,,,,,,,73837,,6.17,,455.57
Smirnoff,10/5/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,37,0.0017,,,,,,,22366,,6.17,,138
Smirnoff,10/6/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,12,0.0008,,,,,,,14671,,6.17,,90.52
Smirnoff,10/7/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,16,0.001,,,,,,,15472,,6.17,,95.46
Smirnoff,10/8/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,50,0.0015,,,,,,,32961,,6.17,,203.37
Smirnoff,10/9/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,60,0.0015,,,,,,,39867,,6.17,,245.98
Smirnoff,10/10/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,24,0.0009,,,,,,,27195,,6.17,,167.79
Smirnoff,10/11/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,30,0.0007,,,,,,,44142,,6.17,,272.36
Smirnoff,10/12/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,95,0.0008,,,,,,,114152,,6.17,,704.32
Smirnoff,10/13/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,14,0.0005,,,,,,,30074,,6.17,,185.56
Smirnoff,10/14/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,28,0.0009,,,,,,,32391,,6.17,,199.85
Smirnoff,10/15/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_ROS,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>A21-64 Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW1,,,,,,,,29,0.0007,,,,,,,43318,,6.17,,267.27
Smirnoff,10/2/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,2,0.0002,,,,,,,12145,,8.14,,98.86
Smirnoff,10/3/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,2,0.0006,,,,,,,3353,,8.14,,27.29
Smirnoff,10/4/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,2,0.0001,,,,,,,17415,,8.14,,141.76
Smirnoff,10/5/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,0,0,,,,,,,5378,,8.14,,43.78
Smirnoff,10/6/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,1,0.0002,,,,,,,5429,,8.14,,44.19
Smirnoff,10/7/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,0,0,,,,,,,4779,,8.14,,38.9
Smirnoff,10/8/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,3,0.0002,,,,,,,15314,,8.14,,124.66
Smirnoff,10/9/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,1,0,,,,,,,24133,,8.14,,196.44
Smirnoff,10/10/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,2,0.0003,,,,,,,7469,,8.14,,60.8
Smirnoff,10/11/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,1,0.0001,,,,,,,8272,,8.14,,67.33
Smirnoff,10/12/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,1,0.0002,,,,,,,5927,,8.14,,48.25
Smirnoff,10/13/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,0,0,,,,,,,6248,,8.14,,50.86
Smirnoff,10/14/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,4,0.0005,,,,,,,8128,,8.14,,66.16
Smirnoff,10/15/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,01_Slate_Ted Danson Seq 3x,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>ROS Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFW4,,,,,,,,3,0.0003,,,,,,,10258,,8.14,,83.5
Smirnoff,10/2/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,03_VC_Smirnoff_America #3,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFVX,,,,,9463,,,3,0.0003,,,9463,,,,9358,0.9889,35.71,,334.17
Smirnoff,10/3/2017,10/1/2017,12/31/2017,Hulu,DAN_Carat_Smirnoff_INT Ted Danson_Seq 3x_10/1-12/31,,03_VC_Smirnoff_America #3,,,,HULU.COM>Run of Site>N/A (:15s)>SS>Video Player:  Short Form>Multiple Devices>Sequential Targeting 3x Video Slate_|US-General-General-Hulu-In-Stream-Video-General-TBD-EN-General>PJVFVX,,,,,1876,,,0,0,,,1876,,,,1865,0.9941,35.71,,66.6
